time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
-7.0,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.8333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.6667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.5,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.3333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.1667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-6.0,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.8333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.6667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.5,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.3333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.1667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-5.0,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.8333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.6667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.5,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.3333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.1667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-4.0,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.8333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.6667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.5,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.3333,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.1667,38969,7,0.0,1.0000000000000007,1.0000000000000007
-3.0,38969,7,0.0,1.0000000000000007,1.0000000000000007
-2.8333,38969,7,-0.0022136565561161237,1.0020476323144087,1.0020500774423706
-2.6667,38969,7,-0.0022136565561161237,1.0020476323144087,1.0020500774423706
-2.5,38969,7,-0.0022136565561161237,1.0020476323144087,1.0020500774423706
-2.3333,38969,7,-0.0022136565561161237,1.0020476323144087,1.0020500774423706
-2.1667,38969,7,-0.0022136565561161237,1.0020476323144087,1.0020500774423706
-2.0,38969,7,0.03219996477350889,0.942232302003348,0.9427823442714355
-1.8333,38969,7,-0.0029598114814968716,0.9816743586996686,0.9816788207007482
-1.6667,38969,7,0.02869847606679452,0.912469647996278,0.9129208405130249
-1.5,38969,7,0.042004133152308346,0.9186296744247565,0.9195894877256976
-1.3333,38969,7,0.017856829552672447,0.9496762076242886,0.9498440744087022
-1.1667,38969,7,0.013544811052737088,0.9414833724744122,0.9415807998001271
