time,lasttime,lat,lng,speed,course,altitude,comment
2022-06-04 16:41:21,2022-06-04 16:41:21,43.97297,-112.53763,9,250,1775.00,"BYU-I HART Balloon - 2"
2022-06-04 16:45:15,2022-06-04 16:45:15,43.97541,-112.53187,22,41,2465.00,"BYU-I HART Balloon - 2"
2022-06-04 16:47:22,2022-06-04 16:47:22,43.99779,-112.52214,54,17,4001.00,"BYU-I HART Balloon - 2"
2022-06-04 16:49:22,2022-06-04 16:49:22,44.01436,-112.51188,65,36,4647.00,"BYU-I HART Balloon - 2"
2022-06-04 16:51:22,2022-06-04 16:51:22,44.02749,-112.49236,76,56,5375.00,"BYU-I HART Balloon - 2"
2022-06-04 16:55:15,2022-06-04 16:55:15,44.03863,-112.46702,67,56,6170.00,"BYU-I HART Balloon - 2"
2022-06-04 16:57:24,2022-06-04 16:57:24,44.05451,-112.42938,54,67,7802.00,"BYU-I HART Balloon - 2"
2022-06-04 16:59:24,2022-06-04 16:59:24,44.05989,-112.40895,63,65,8601.00,"BYU-I HART Balloon - 2"
2022-06-04 17:01:24,2022-06-04 17:01:24,44.06440,-112.38427,74,80,9420.00,"BYU-I HART Balloon - 2"
2022-06-04 17:03:24,2022-06-04 17:03:24,44.07142,-112.35378,93,68,10247.00,"BYU-I HART Balloon - 2"
2022-06-04 17:05:24,2022-06-04 17:05:24,44.07862,-112.31717,85,80,10920.00,"BYU-I HART Balloon - 2"
2022-06-04 17:07:25,2022-06-04 17:07:25,44.08331,-112.27862,83,86,11533.00,"BYU-I HART Balloon - 2"
2022-06-04 17:09:25,2022-06-04 17:09:25,44.08318,-112.23769,107,95,12180.00,"BYU-I HART Balloon - 2"
2022-06-04 17:11:25,2022-06-04 17:11:25,44.08102,-112.19159,80,91,12831.00,"BYU-I HART Balloon - 2"
2022-06-04 17:13:26,2022-06-04 17:13:26,44.08261,-112.15294,96,91,13372.00,"BYU-I HART Balloon - 2"
2022-06-04 17:15:26,2022-06-04 17:15:26,44.08396,-112.11845,81,86,13809.00,"BYU-I HART Balloon - 2"
2022-06-04 17:17:27,2022-06-04 17:17:27,44.08358,-112.08641,69,98,14301.00,"BYU-I HART Balloon - 2"
2022-06-04 17:19:27,2022-06-04 17:19:27,44.08186,-112.06425,56,79,14806.00,"BYU-I HART Balloon - 2"
2022-06-04 17:21:27,2022-06-04 17:21:27,44.08514,-112.04213,61,81,15231.00,"BYU-I HART Balloon - 2"
2022-06-04 17:24:09,2022-06-04 17:24:09,44.08868,-112.01886,31,83,15709.00,"BYU-I HART Balloon - 2"
2022-06-04 17:25:29,2022-06-04 17:25:29,44.08960,-112.00829,30,84,16207.00,"BYU-I HART Balloon - 2"
2022-06-04 17:27:29,2022-06-04 17:27:29,44.08987,-111.99760,4,139,16693.00,"BYU-I HART Balloon - 2"
2022-06-04 17:29:29,2022-06-04 17:29:29,44.09170,-111.99357,9,8,17150.00,"BYU-I HART Balloon - 2"
2022-06-04 17:31:30,2022-06-04 17:31:30,44.09678,-111.98807,28,48,17609.00,"BYU-I HART Balloon - 2"
2022-06-04 17:33:30,2022-06-04 17:33:30,44.09877,-111.97827,33,110,18067.00,"BYU-I HART Balloon - 2"
2022-06-04 17:37:31,2022-06-04 17:37:31,44.09862,-111.97420,7,318,18997.00,"BYU-I HART Balloon - 2"
2022-06-04 17:39:31,2022-06-04 17:39:31,44.10045,-111.97187,4,333,19468.00,"BYU-I HART Balloon - 2"
2022-06-04 17:41:32,2022-06-04 17:41:32,44.09971,-111.97437,7,290,19945.00,"BYU-I HART Balloon - 2"
2022-06-04 17:43:32,2022-06-04 17:43:32,44.09990,-111.97664,9,260,20429.00,"BYU-I HART Balloon - 2"
2022-06-04 17:45:33,2022-06-04 17:45:33,44.10000,-111.98108,28,271,20908.00,"BYU-I HART Balloon - 2"
