pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,sy_dist
11 Com b,11 Com,Radial Velocity,2007,323.21,12.2,4914.898486,,93.1846
11 UMi b,11 UMi,Radial Velocity,2009,516.21997,12.3,4684.8142,,125.321
14 And b,14 And,Radial Velocity,2008,186.76,13.1,1131.151301,,75.4392
14 Her b,14 Her,Radial Velocity,2002,1765.0389,12.6,2559.472162,,17.9323
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,13.5,565.7374,,21.1397
17 Sco b,17 Sco,Radial Velocity,2020,578.38,12.9,1373.018718,,124.953
18 Del b,18 Del,Radial Velocity,2008,982.85,12.5,2926.246143,,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,18.647,3000,1700,139.135
24 Boo b,24 Boo,Radial Velocity,2018,30.33,13.9,280.6424834,,95.9863
24 Sex b,24 Sex,Radial Velocity,2010,452.8,13.4,632.46,,72.0691
24 Sex c,24 Sex,Radial Velocity,2010,883,13.9,273.32,,72.0691
2M0437 b,2MASS J04372171+2651014,Imaging,2021,,13,1271.313628,1450,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,,12.3,4131.79,,47.2
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,11.209,7786.5,1600,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,,16.14096,4417.837,,40.08964117
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,,12.4,3686.809521,,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,,12.2,5720.911326,2369,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,,12.6,2383.6,,120.423987
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,,11.9,8899.195396,2677,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,,12.1,6356.56814,2506,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,12.9,1589.15,1250,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,406,13.4,603.877,,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,,12.4,3813.940884,1616,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,,12.3,3972.875,,69.5737
30 Ari B b,30 Ari B,Radial Velocity,2009,335.10001,12.3,4392.4106,,44.657
4 UMa b,4 UMa,Radial Velocity,2006,270.27,12.6,2511.480072,,73.4603
47 UMa b,47 UMa,Radial Velocity,1996,1078,13.2,804.08,,13.7967
47 UMa c,47 UMa,Radial Velocity,2001,2391,14.2,171.621,,13.7967
47 UMa d,47 UMa,Radial Velocity,2009,14002,13.5,521.22,,13.7967
51 Eri b,51 Eri,Imaging,2015,9100,,3464.329636,700,29.7575
51 Peg b,51 Peg,Radial Velocity,1995,4.230785,14.3,146.2018,,15.4614
55 Cnc B b,55 Cnc B,Radial Velocity,2025,6.7994,1.69,3.5,,12.4773
55 Cnc B c,55 Cnc B,Radial Velocity,2025,33.747,2.16,5.3,,12.4773
55 Cnc b,55 Cnc,Radial Velocity,1996,14.651552,13.9,263.9785,700,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3936,8.51,54.4738,,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4799,13,1232.493,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365474,1.875,7.99,1958,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,260.58,7.59,44.812,,12.5855
6 Lyn b,6 Lyn,Radial Velocity,2008,919.86,13.4,597.8352336,,54.6599
61 Vir b,61 Vir,Radial Velocity,2009,4.215,2.11,5.1,,8.50332
61 Vir c,61 Vir,Radial Velocity,2009,38.021,4.46,18.2,,8.50332
61 Vir d,61 Vir,Radial Velocity,2009,123.01,5.11,22.9,,8.50332
7 CMa b,7 CMa,Radial Velocity,2011,735.1,13.4,587.9855,,19.8101
7 CMa c,7 CMa,Radial Velocity,2019,996,13.9,276.5121,,19.8101
70 Vir b,70 Vir,Radial Velocity,1996,116.688,12.6,2380.45,,17.9011
75 Cet b,75 Cet,Radial Velocity,2012,696.62,13.3,787.896621,,82.9613
75 Cet c,75 Cet,Radial Velocity,2023,2051.62,13.9,289.8595072,,82.9613
8 UMi b,8 UMi,Radial Velocity,2015,93.4,13.6,416.3573,,162.552
81 Cet b,81 Cet,Radial Velocity,2008,1005.57,13.1,1051.058542,,101.26
91 Aqr b,91 Aqr,Radial Velocity,2013,181.4,13.1,1017,,44.0304
AB Aur b,AB Aur,Imaging,2022,,12.5,2860.455663,,162.127
AB Pic b,AB Pic,Imaging,2005,,12.3,4290.5,,50.0475
AF Lep b,AF Lep,Imaging,2023,8905,13,1147.360549,1400,26.8564
AT2021ueyL b,AT2021ueyL,Microlensing,2025,4168.69,13.6,425.8900654,,1040
AU Mic b,AU Mic,Transit,2020,8.46308,3.95677019,20.12,600,9.7221
AU Mic c,AU Mic,Transit,2021,18.85969,2.52202066,9.6,459,9.7221
AU Mic d,AU Mic,Transit Timing Variations,2023,12.73596,1.02,1.053,,9.7221
AU Mic e,AU Mic,Radial Velocity,2025,33.11,4.87,21.1,,9.7221
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,481.9,12.7,2034.112,,1070.63
BD+05 4868 A b,BD+05 4868 A,Transit,2025,1.271869,,6.2,1820,43.5687
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,268.94,13.8,330.5432,,49.352
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,153.22,13.8,337.21763,,768.045
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,137.48,13.7,352.78,,426.42
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,379.63,12.1,6807.63,,1539.71
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,621.99,12.4,3963.17,,1539.71
BD+20 274 b,BD+20 274,Radial Velocity,2012,578.2,13,1334.886,,1322.51
BD+20 594 b,BD+20 594,Transit,2016,41.6855,2.57807,22.2481,546,179.461
BD+37 3172 b,BD+37 3172,Radial Velocity,2023,1887.76,12.4,3368.981114,,454.251
BD+42 2315 b,BD+42 2315,Radial Velocity,2023,123.05,14.2,174.8056239,,610.715
BD+45 564 b,BD+45 564,Radial Velocity,2021,307.88,13.6,432.2466335,,53.622
BD+48 738 b,BD+48 738,Radial Velocity,2011,392.6,13.9,289.2253,,871.493
BD+48 740 b,BD+48 740,Radial Velocity,2018,733,13.5,540.311,,666.589
BD+49 828 b,BD+49 828,Radial Velocity,2015,2590,13.5,508.5,,442.042
BD+55 362 b,BD+55 362,Radial Velocity,2021,265.59,14,228.836453,,52.5697
BD+60 1417 b,BD+60 1417,Imaging,2021,,14.68376472,4767.426105,1303,44.9543
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,1198.48,12.4,3305.415433,,38.0473
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,3.8728,2.85,8.5,,20.2695
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,125.94,8.38,53,,20.2695
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,5.6,3.61,12.7132,,41.3342
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,237.6,12.5,104,,41.3342
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.48777,14.1,187.5197,,84.4069
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,1634,14.1,206.5895,,27.1665
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,74.2,4.04,15.37,,27.1665
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,714.29999,12.5,3108.3774,,925.214
BD-14 3065 b,BD-14 3065 A,Transit,2024,4.2889731,21.59,3932,2001,589.423
BD-17 63 b,BD-17 63,Radial Velocity,2008,655.57,12.8,1639.99458,,34.4603
BD-210397 b,BD-210397,Radial Velocity,2023,1891,14,214,,23.7324
BD-210397 c,BD-210397,Radial Velocity,2023,6240,12.9,1525.576354,,23.7324
BEBOP-3 b,BEBOP-3,Radial Velocity,2025,547,14.2,177.3482511,,119.052
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,2025,1823.5,,8358.887104,,234.294
Barnard b,Barnard's star,Radial Velocity,2024,3.1542,0.72,0.299,438,1.82655
Barnard c,Barnard's star,Radial Velocity,2025,4.1244,0.743,0.335,400,1.82655
Barnard d,Barnard's star,Radial Velocity,2025,2.3402,0.694,0.263,483,1.82655
Barnard e,Barnard's star,Radial Velocity,2025,6.7392,0.637,0.193,340,1.82655
CD Cet b,CD Cet,Radial Velocity,2020,2.2907,1.82,3.95,464,8.60715
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,10037.5,12.4,3337.1,370,23.1
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2021,8040000,20.8487041,2479.061575,1800,
CHXR 73 b,CHXR 73,Imaging,2006,,12.3,3994.486,,190.374
CI Tau c,CI Tau,Radial Velocity,2024,25.2,13,1144.182265,,157.998
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,402000000,12.44196858,2542.627256,434,10.8864
CT Cha b,CT Cha,Imaging,2007,,24.66,5403,2600,190.72
CoRoT-1 b,CoRoT-1,Transit,2008,1.5089557,16.7,327.35,1898,787.909
CoRoT-10 b,CoRoT-10,Transit,2010,13.2406,10.87,874,600,338.386
CoRoT-11 b,CoRoT-11,Transit,2010,2.99433,16.03,740.51,1657,655.037
CoRoT-12 b,CoRoT-12,Transit,2010,2.828042,16.14,291.438,1442,1126.37
CoRoT-13 b,CoRoT-13,Transit,2010,4.03519,9.92,415.704,1700,1148.93
CoRoT-14 b,CoRoT-14,Transit,2010,1.51214,12.22,2415.4,1952,1744.6
CoRoT-16 b,CoRoT-16,Transit,2011,5.35227,13.11,170.032,,732.409
